Serial Number,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
459,30,Yes,No,Yes,Purchased the book,Yes,Yes
460,30,Yes,No,Yes,Purchased the book,Yes,No
461,30,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
462,30,Yes,No,No,Purchased the book,Yes,Yes
463,30,Yes,No,Yes,Purchased the book,Yes,No
464,30,Yes,No,No,Purchased the book,No,Yes
465,30,Yes,Yes,Yes,Purchased the book,Yes,Yes
466,30,Yes,No,No,Purchased the book,Yes,Yes
467,30,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
468,30,Yes,Yes,Yes,Purchased the book,Yes,Yes
469,30,Yes,Yes,Yes,Purchased the book,No,No
470,30,Yes,No,Yes,Purchased the book,Yes,Yes
471,30,Yes,No,No,Purchased the book,Yes,Yes
472,30,No,No,No,Purchased the book,Yes,No
473,30,Yes,No,No,Purchased the book,No,Yes
474,30,Yes,No,No,Borrowed the book from a friend or family member,No,No
475,30,Yes,No,Yes,Got the book some other way,No,No
476,30,Yes,No,Yes,Purchased the book,No,No
477,30,Yes,No,Yes,Got the book some other way,No,Yes
478,30,Yes,No,Yes,Purchased the book,No,No
479,30,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
480,30,Yes,No,No,Borrowed the book from a library,Yes,No
481,30,Yes,Yes,Yes,Purchased the book,No,No
482,30,Yes,No,No,Purchased the book,No,Yes
483,30,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
484,30,Yes,No,Yes,Purchased the book,No,Yes
485,30,Yes,No,No,Purchased the book,Yes,Yes
486,30,Yes,No,Yes,Purchased the book,Yes,No
487,30,Yes,Yes,Yes,Purchased the book,Yes,No
488,30,Yes,No,No,Purchased the book,Yes,Yes
489,30,Yes,No,No,Purchased the book,Yes,No
490,30,Yes,No,No,Got the book some other way,Yes,No
491,30,Yes,No,No,Borrowed the book from a friend or family member,No,No
492,30,Yes,No,Yes,Got the book some other way,Yes,No
493,30,Yes,No,Yes,Purchased the book,Yes,No
494,30,Yes,No,No,Borrowed the book from a library,Yes,No
495,30,Yes,No,Yes,Purchased the book,Yes,Yes
496,30,Yes,No,No,Purchased the book,No,No
497,30,Yes,No,Yes,Purchased the book,No,Yes
498,30,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
499,30,Yes,No,Yes,Purchased the book,Yes,Yes
500,30,Yes,No,No,Purchased the book,No,No
501,30,Yes,No,No,Got the book some other way,No,Yes
502,30,Yes,Yes,Yes,Purchased the book,Yes,Yes
503,30,Yes,No,Yes,Borrowed the book from a library,No,No
504,30,Yes,No,Yes,Purchased the book,No,No
505,30,Yes,No,Yes,Purchased the book,Yes,Yes
506,30,Yes,No,Yes,Purchased the book,Yes,Yes
507,30,Yes,No,No,Purchased the book,Yes,No
508,30,Yes,No,No,Purchased the book,No,Yes
509,30,Yes,Yes,Yes,Purchased the book,Yes,No
510,30,Yes,No,Yes,Purchased the book,Yes,No
511,30,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
512,30,Yes,No,Yes,Purchased the book,No,No
513,30,Yes,No,Yes,Purchased the book,No,No
514,30,No,No,No,Borrowed the book from a friend or family member,Yes,Yes
515,30,Yes,No,No,Purchased the book,No,Yes
516,30,Yes,No,No,Borrowed the book from a library,No,No
517,30,Yes,No,No,Borrowed the book from a friend or family member,No,No
518,30,Yes,No,Yes,Borrowed the book from a library,No,Yes
519,30,Yes,No,Yes,Purchased the book,Yes,Yes
520,30,Yes,No,No,Borrowed the book from a library,No,Yes
521,30,Yes,No,No,Purchased the book,Yes,No
522,30,Yes,No,No,Purchased the book,No,No
523,30,Yes,No,No,Purchased the book,Yes,Yes
524,30,Yes,Yes,No,Borrowed the book from a library,No,Yes
525,26,Yes,Yes,Yes,Purchased the book,Yes,Yes
526,26,Yes,No,No,Purchased the book,No,Yes
527,25,Yes,Yes,No,Purchased the book,Yes,Yes
528,25,Yes,No,Yes,Borrowed the book from a library,No,No
529,25,Yes,No,No,Purchased the book,No,No
530,25,Yes,No,No,Got the book some other way,Yes,Yes
531,25,Yes,Yes,Yes,Borrowed the book from a library,No,Yes
532,25,Yes,No,Yes,Purchased the book,Yes,Yes
533,25,Yes,No,No,Got the book some other way,Yes,No
534,25,Yes,No,No,Got the book some other way,No,No
535,25,Yes,No,No,Borrowed the book from a library,No,Yes
536,25,Yes,No,No,Borrowed the book from a library,No,Yes
537,25,Yes,No,No,Purchased the book,Yes,Yes
538,25,Yes,No,No,Purchased the book,Yes,Yes
539,25,Yes,No,No,Purchased the book,Yes,No
540,25,Yes,No,No,Got the book some other way,Yes,Yes
541,25,Yes,No,No,Purchased the book,Yes,Yes
542,25,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
543,25,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
544,25,Yes,Yes,No,Purchased the book,Yes,No
545,25,Yes,Yes,No,Purchased the book,Yes,Yes
546,25,Yes,Yes,No,Purchased the book,Yes,Yes
547,25,Yes,Yes,Yes,Purchased the book,Yes,Yes
548,25,Yes,No,Yes,Purchased the book,Yes,Yes
549,25,Yes,Yes,Yes,Purchased the book,Yes,No
550,25,Yes,No,No,Purchased the book,Yes,No
551,25,Yes,No,No,Purchased the book,No,Yes
552,25,Yes,Yes,No,Borrowed the book from a friend or family member,No,No
553,25,Yes,No,No,Purchased the book,Yes,Yes
554,25,No,Yes,Yes,Purchased the book,Yes,Yes
555,25,Yes,No,No,Got the book some other way,Yes,No
556,25,Yes,No,No,Purchased the book,Yes,No
557,25,Yes,No,No,Purchased the book,Yes,Yes
558,25,Yes,No,Yes,Borrowed the book from a library,Yes,No
559,25,Yes,No,No,Purchased the book,Yes,Yes
560,25,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
561,25,Yes,No,No,Purchased the book,Yes,No
562,25,Yes,No,Yes,Purchased the book,Yes,No
563,25,Yes,No,No,Got the book some other way,Yes,No
564,25,Yes,No,Yes,Got the book some other way,Yes,Yes
565,25,Yes,No,Yes,Purchased the book,Yes,Yes
566,25,Yes,Yes,Yes,Purchased the book,Yes,Yes
567,25,Yes,No,Yes,Purchased the book,Yes,Yes
568,25,Yes,No,Yes,Purchased the book,No,Yes
569,25,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
570,25,Yes,No,No,Purchased the book,Yes,No
571,25,Yes,No,Yes,Purchased the book,Yes,Yes
572,25,Yes,No,No,Purchased the book,No,Yes
573,25,Yes,Yes,Yes,Purchased the book,No,Yes
574,25,Yes,No,Yes,Purchased the book,Yes,No
575,25,Yes,No,No,Got the book some other way,Yes,Yes
576,25,Yes,No,Yes,Purchased the book,Yes,No
577,25,Yes,No,No,Borrowed the book from a library,No,No
578,25,Yes,No,No,Borrowed the book from a library,Yes,Yes
579,25,Yes,No,No,Borrowed the book from a library,Yes,Yes
580,25,Yes,No,Yes,Purchased the book,Yes,Yes
581,25,Yes,No,Yes,Purchased the book,Yes,Yes
582,25,Yes,Yes,Yes,Purchased the book,Yes,No
583,25,Yes,No,No,Purchased the book,No,Yes
584,25,Yes,No,No,Purchased the book,No,No
585,25,No,No,No,Purchased the book,Yes,Yes
586,25,Yes,No,Yes,Purchased the book,Yes,Yes
587,25,Yes,Yes,Yes,8,No,Yes
588,25,Yes,No,No,Purchased the book,Yes,Yes
589,25,Yes,No,No,Got the book some other way,No,Yes
590,25,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
591,25,Yes,Yes,Yes,Borrowed the book from a library,No,Yes
592,25,Yes,No,No,Purchased the book,No,Yes
593,25,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
594,25,Yes,No,Yes,Borrowed the book from a library,Yes,No
595,25,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
596,25,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
597,25,Yes,No,No,Purchased the book,Yes,No
598,25,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
599,25,Yes,No,Yes,Got the book some other way,Yes,Yes
600,25,Yes,No,No,Purchased the book,No,No
601,25,Yes,Yes,No,Borrowed the book from a library,No,No
602,25,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
603,25,No,No,Yes,Got the book some other way,No,No
604,25,Yes,No,No,Borrowed the book from a library,Yes,No
605,25,Yes,No,No,Borrowed the book from a library,No,No
606,25,No,No,Yes,Purchased the book,Yes,Yes
607,25,Yes,No,No,Got the book some other way,No,Yes
608,25,Yes,No,No,Purchased the book,Yes,No
609,24,Yes,No,No,Got the book some other way,No,No
610,24,Yes,No,No,Purchased the book,Yes,Yes
611,24,Yes,No,No,Got the book some other way,No,No
612,24,Yes,No,No,Got the book some other way,Yes,No
613,24,Yes,No,Yes,Purchased the book,Yes,Yes
614,24,Yes,No,No,Borrowed the book from a library,Yes,Yes
615,24,Yes,No,No,Borrowed the book from a library,Yes,Yes
616,24,Yes,No,No,Purchased the book,Yes,No
617,24,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
618,24,Yes,Yes,Yes,Got the book some other way,No,Yes
619,24,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
620,24,Yes,No,No,Purchased the book,Yes,Yes
621,24,Yes,Yes,Yes,Got the book some other way,No,No
622,24,Yes,Yes,No,Purchased the book,Yes,Yes
623,24,Yes,No,No,Borrowed the book from a library,Yes,No
624,24,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
625,24,Yes,No,Yes,Purchased the book,Yes,Yes
626,24,No,No,Yes,Purchased the book,No,No
627,24,Yes,No,No,Purchased the book,Yes,No
628,24,Yes,No,No,Borrowed the book from a library,Yes,Yes
629,24,Yes,No,Yes,Got the book some other way,Yes,Yes
630,24,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
631,24,Yes,No,No,Purchased the book,Yes,Yes
632,24,Yes,No,No,Purchased the book,Yes,No
633,24,No,Yes,Yes,Purchased the book,Yes,No
634,24,Yes,No,Yes,Purchased the book,Yes,Yes
635,24,Yes,No,Yes,Got the book some other way,No,Yes
636,24,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
637,24,Yes,No,No,Purchased the book,Yes,No
638,24,Yes,No,Yes,Purchased the book,Yes,No
639,24,Yes,No,No,Borrowed the book from a library,Yes,Yes
640,24,Yes,No,Yes,Purchased the book,No,No
641,24,Yes,No,Yes,Purchased the book,Yes,Yes
642,24,Yes,No,No,Purchased the book,No,Yes
643,24,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
644,23,Yes,No,Yes,Purchased the book,Yes,Yes
645,22,Yes,Yes,Yes,Purchased the book,Yes,No
646,20,Yes,Yes,Yes,Got the book some other way,Yes,Yes
647,20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
648,20,Yes,No,No,Purchased the book,Yes,No
649,20,Yes,Yes,Yes,Purchased the book,Yes,Yes
650,20,Yes,No,No,Purchased the book,No,Yes
651,20,Yes,No,Yes,Purchased the book,Yes,Yes
652,20,Yes,No,No,Purchased the book,No,No
653,20,No,Yes,No,Purchased the book,Yes,Yes
654,20,Yes,No,Yes,Borrowed the book from a friend or family member,No,No
655,20,Yes,Yes,Yes,Got the book some other way,Yes,No
656,20,Yes,No,No,Borrowed the book from a friend or family member,No,No
657,20,Yes,No,Yes,Purchased the book,No,Yes
658,20,Yes,No,No,Purchased the book,No,Yes
659,20,Yes,No,Yes,Got the book some other way,No,Yes
660,20,Yes,No,Yes,Got the book some other way,Yes,Yes
661,20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
662,20,No,No,Yes,Purchased the book,No,Yes
663,20,Yes,Yes,No,Purchased the book,Yes,Yes
664,20,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
665,20,Yes,No,No,Borrowed the book from a library,Yes,Yes
666,20,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,No
667,20,Yes,No,No,Purchased the book,Yes,Yes
668,20,Yes,No,No,Got the book some other way,Yes,No
669,20,Yes,No,No,Got the book some other way,Yes,Yes
670,20,Yes,No,No,Purchased the book,No,No
671,20,Yes,No,Yes,Purchased the book,No,Yes
672,20,Yes,No,No,Borrowed the book from a library,No,Yes
673,20,Yes,No,Yes,Purchased the book,No,No
674,20,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
675,20,Yes,No,No,Borrowed the book from a library,Yes,Yes
676,20,Yes,No,Yes,Got the book some other way,Yes,Yes
677,20,Yes,Yes,Yes,Purchased the book,Yes,Yes
678,20,Yes,No,No,Borrowed the book from a library,No,Yes
679,20,Yes,No,No,Purchased the book,Yes,No
680,20,Yes,No,Yes,Borrowed the book from a library,Yes,No
681,20,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
682,20,Yes,No,Yes,Purchased the book,Yes,Yes
683,20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
684,20,Yes,No,No,Borrowed the book from a library,No,No
685,20,Yes,Yes,Yes,Purchased the book,No,Yes
686,20,Yes,No,No,Purchased the book,Yes,Yes
687,20,Yes,No,Yes,Purchased the book,Yes,Yes
688,20,Yes,Yes,Yes,Purchased the book,No,Yes
689,20,Yes,No,Yes,Purchased the book,Yes,Yes
690,20,Yes,No,No,Purchased the book,Yes,No
691,20,No,No,Yes,Purchased the book,Yes,No
692,20,Yes,No,Yes,Purchased the book,Yes,Yes
693,20,Yes,Yes,Yes,Purchased the book,Yes,Yes
694,20,Yes,No,Yes,Purchased the book,Yes,Yes
695,20,Yes,No,Yes,Purchased the book,No,No
696,20,Yes,No,Yes,Purchased the book,Yes,Yes
697,20,Yes,No,No,Purchased the book,Yes,Yes
698,20,Yes,No,No,Borrowed the book from a library,Yes,Yes
699,20,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
700,20,Yes,No,No,Purchased the book,Yes,Yes
701,20,Yes,No,No,Purchased the book,Yes,Yes
702,20,Yes,No,No,Purchased the book,No,No
703,20,No,Yes,Yes,Purchased the book,No,No
704,20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
705,20,Yes,No,No,Borrowed the book from a library,Yes,No
706,20,Yes,Yes,Yes,Purchased the book,Yes,No
707,20,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
708,20,Yes,No,No,Purchased the book,Yes,No
709,20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
710,20,Yes,No,No,Purchased the book,Yes,Yes
711,20,Yes,No,Yes,Purchased the book,Yes,Yes
712,20,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
713,20,No,No,Yes,Purchased the book,Yes,No
714,20,Yes,No,No,Got the book some other way,Yes,Yes
715,20,Yes,No,Yes,Purchased the book,Yes,Yes
716,20,Yes,No,No,Purchased the book,Yes,Yes
717,20,Yes,No,No,Got the book some other way,Yes,Yes
718,20,Yes,No,No,Purchased the book,Yes,Yes
719,20,Yes,No,Yes,Purchased the book,Yes,Yes
720,20,Yes,Yes,No,Borrowed the book from a library,No,Yes
721,20,No,Yes,No,Purchased the book,No,No
722,20,Yes,No,No,Purchased the book,Yes,No
723,20,Yes,No,Yes,Purchased the book,Yes,Yes
724,20,Yes,No,No,Got the book some other way,No,No
725,20,Yes,No,No,Purchased the book,Yes,Yes
726,20,Yes,No,No,Purchased the book,Yes,Yes
727,20,Yes,No,Yes,Got the book some other way,Yes,No
728,20,Yes,No,Yes,Purchased the book,Yes,Yes
729,20,No,No,Yes,Purchased the book,Yes,No
730,20,Yes,Yes,Yes,Purchased the book,No,Yes
731,20,Yes,No,No,Purchased the book,Yes,Yes
732,20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
733,20,Yes,Yes,Yes,Purchased the book,No,Yes
734,20,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
735,20,Yes,Yes,No,Purchased the book,Yes,Yes
736,20,Yes,No,Yes,Purchased the book,Yes,Yes
737,20,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
738,20,Yes,No,Yes,Got the book some other way,No,Yes
739,20,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
740,20,Yes,No,Yes,Purchased the book,No,Yes
741,20,Yes,Yes,Yes,Purchased the book,No,Yes
742,20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
743,20,Yes,No,Yes,Purchased the book,Yes,Yes
744,20,Yes,Yes,Yes,Got the book some other way,Yes,Yes
745,20,Yes,No,No,Got the book some other way,No,No
746,20,Yes,No,Yes,Purchased the book,No,Yes
747,20,Yes,No,Yes,Purchased the book,No,Yes
748,20,No,Yes,No,Borrowed the book from a library,Yes,No
749,20,Yes,Yes,No,Borrowed the book from a library,No,No
750,20,Yes,No,No,Purchased the book,Yes,No
751,20,Yes,No,No,Borrowed the book from a friend or family member,No,No
752,20,Yes,No,Yes,Purchased the book,Yes,Yes
753,20,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
754,20,Yes,Yes,No,Purchased the book,Yes,Yes
755,20,Yes,No,No,Purchased the book,No,Yes
756,20,Yes,No,No,Purchased the book,Yes,Yes
757,20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
758,20,Yes,No,Yes,Purchased the book,Yes,No
759,20,Yes,Yes,No,Purchased the book,Yes,No
760,20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
761,20,Yes,Yes,No,8,Yes,No
762,20,Yes,No,Yes,Purchased the book,Yes,No
763,20,Yes,No,Yes,Got the book some other way,Yes,No
764,20,Yes,No,No,Got the book some other way,Yes,Yes
765,20,Yes,Yes,Yes,Purchased the book,Yes,Yes
766,20,Yes,Yes,Yes,Purchased the book,Yes,Yes
767,20,Yes,No,No,Purchased the book,No,Yes
768,20,Yes,No,Yes,Purchased the book,No,Yes
769,20,Yes,No,Yes,Purchased the book,Yes,No
770,20,Yes,Yes,No,Got the book some other way,Yes,Yes
771,20,Yes,No,Yes,Purchased the book,Yes,No
772,20,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,No
773,20,No,No,Yes,Purchased the book,Yes,Yes
774,20,No,No,No,Purchased the book,No,No
775,20,Yes,No,No,Purchased the book,Yes,Yes
776,20,Yes,No,Yes,Purchased the book,No,No
777,20,Yes,No,Yes,Purchased the book,No,Yes
778,20,Yes,No,Yes,Got the book some other way,Yes,No
779,20,Yes,No,Yes,Purchased the book,Yes,Yes
780,20,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
781,20,Yes,No,No,Purchased the book,No,Yes
782,20,Yes,No,No,Got the book some other way,Yes,Yes
783,20,Yes,Yes,No,Purchased the book,No,No
784,20,Yes,No,No,Purchased the book,No,Yes
785,20,Yes,No,No,Purchased the book,Yes,No
786,20,Yes,No,Yes,Purchased the book,No,No
787,20,Yes,Yes,Yes,Borrowed the book from a friend or family member,No,No
788,20,Yes,No,No,Purchased the book,No,No
789,20,Yes,No,No,Purchased the book,No,Yes
790,20,Yes,No,Yes,Purchased the book,Yes,Yes
791,20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
792,20,Yes,No,Yes,Borrowed the book from a library,No,No
793,20,Yes,No,No,Purchased the book,No,No
794,20,Yes,No,No,Borrowed the book from a library,No,No
795,20,Yes,No,Yes,Borrowed the book from a library,No,Yes
796,20,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
797,20,Yes,No,No,Borrowed the book from a library,Yes,No
798,20,Yes,No,Yes,Purchased the book,Yes,Don’t know
799,20,Yes,No,No,Borrowed the book from a library,Yes,Yes
800,20,Yes,No,No,Purchased the book,No,No
801,20,Yes,No,No,Purchased the book,No,No
802,20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
803,20,Yes,Yes,No,Purchased the book,No,Yes
804,20,Yes,No,Yes,Got the book some other way,Yes,Yes
805,19,Yes,No,No,Purchased the book,Yes,No
806,18,Yes,Yes,Yes,Purchased the book,Yes,No
807,18,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
808,18,Yes,No,No,Purchased the book,Yes,Yes
809,18,Yes,Yes,Yes,Borrowed the book from a library,No,Yes
810,18,Yes,No,No,Purchased the book,Yes,Yes
811,18,No,Yes,Yes,Purchased the book,Yes,No
812,18,Yes,No,No,Purchased the book,No,No
813,18,Yes,Yes,Yes,Purchased the book,Yes,Yes
814,18,Yes,No,Yes,Purchased the book,Yes,Yes
815,18,Yes,No,No,Purchased the book,No,Yes
816,17,Yes,No,No,Purchased the book,Don’t know,Don’t know
817,17,Yes,Yes,No,Borrowed the book from a friend or family member,No,No
818,17,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
819,17,Yes,No,Yes,Purchased the book,Yes,No
820,17,Yes,No,Yes,Got the book some other way,No,Yes
821,17,Yes,No,Yes,Borrowed the book from a library,No,No
822,16,Yes,No,Yes,Purchased the book,No,No
823,16,Yes,No,No,Purchased the book,Yes,Yes
824,16,Yes,No,No,Purchased the book,Yes,Yes
825,16,Yes,No,No,Purchased the book,Yes,Yes
826,16,Yes,No,No,Got the book some other way,No,Yes
827,16,Yes,No,No,Borrowed the book from a library,Yes,Yes
828,16,Yes,No,No,Purchased the book,Yes,No
829,16,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
830,16,No,No,Yes,Purchased the book,Yes,Yes
831,16,Yes,No,Yes,Purchased the book,Yes,Yes
832,16,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
833,15,Yes,No,No,Borrowed the book from a library,Yes,Yes
834,15,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
835,15,Yes,No,No,Purchased the book,Yes,Yes
836,15,Yes,No,No,Purchased the book,Yes,Yes
837,15,Yes,Yes,Yes,Purchased the book,Yes,No
838,15,Yes,Yes,No,9,No,No
839,15,Yes,No,No,Purchased the book,Yes,No
840,15,Yes,No,No,Purchased the book,No,Yes
841,15,Yes,No,No,Purchased the book,No,Yes
842,15,Yes,No,Yes,Purchased the book,Yes,Yes
843,15,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
844,15,Yes,No,No,Got the book some other way,No,Yes
845,15,Yes,No,Yes,Purchased the book,Yes,No
846,15,Yes,No,No,Purchased the book,No,Yes
847,15,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
848,15,Yes,No,Yes,Purchased the book,Yes,Yes
849,15,Yes,No,Yes,Purchased the book,Yes,Yes
850,15,Yes,No,Yes,Purchased the book,Yes,Yes
851,15,Yes,No,Yes,Purchased the book,No,Yes
852,15,Yes,No,No,Borrowed the book from a library,No,Yes
853,15,Yes,No,No,Borrowed the book from a library,Yes,Yes
854,15,Yes,No,No,Borrowed the book from a library,Yes,Yes
855,15,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
856,15,Yes,No,No,Purchased the book,No,Yes
857,15,Yes,Yes,Yes,Got the book some other way,Yes,Yes
858,15,Yes,No,No,Got the book some other way,Yes,Yes
859,15,Yes,No,No,Borrowed the book from a library,Yes,Yes
860,15,Yes,No,No,8,Yes,No
861,15,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
862,15,Yes,No,Yes,Purchased the book,No,Yes
863,15,Yes,No,No,Purchased the book,No,No
864,15,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes
865,15,Yes,No,No,Got the book some other way,Yes,Yes
866,15,No,No,Yes,Borrowed the book from a library,Yes,Yes
867,15,Yes,No,No,Purchased the book,Yes,Yes
868,15,Yes,No,No,Borrowed the book from a friend or family member,No,No
869,15,Yes,No,Yes,Got the book some other way,Yes,No
870,15,Yes,No,No,Purchased the book,Yes,Yes
871,15,Yes,No,No,Purchased the book,No,Yes
872,15,Yes,No,Yes,Purchased the book,Yes,Yes
873,15,Yes,Yes,No,Purchased the book,Yes,Yes
874,15,Yes,No,Yes,Purchased the book,Yes,No
875,15,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
876,15,Yes,No,No,Purchased the book,Yes,No
877,15,Yes,No,No,Purchased the book,Yes,Yes
878,15,Yes,No,Yes,Purchased the book,Yes,Yes
879,15,Yes,No,No,Purchased the book,Yes,No
880,15,Yes,No,No,Got the book some other way,Yes,Yes
881,15,Yes,Yes,No,Purchased the book,No,Yes
882,15,Yes,Yes,No,Purchased the book,Yes,Yes
883,15,Yes,Yes,Yes,Purchased the book,Yes,Yes
884,15,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
885,15,Yes,No,Yes,Purchased the book,Yes,No
886,15,Yes,No,No,Purchased the book,Yes,Yes
887,15,No,Yes,Yes,Got the book some other way,Yes,No
888,15,Yes,No,Yes,Purchased the book,Yes,Yes
889,15,Yes,No,No,Purchased the book,Yes,Yes
890,15,Yes,No,Yes,Purchased the book,No,Yes
891,15,Yes,No,Yes,Purchased the book,No,Yes
892,15,Yes,No,Yes,Purchased the book,Yes,Yes
893,15,Yes,No,Yes,Got the book some other way,No,Yes
894,15,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
895,15,Yes,No,No,Purchased the book,No,No
896,15,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes
897,15,Yes,No,No,Purchased the book,Yes,Yes
898,15,Yes,No,Yes,Purchased the book,Yes,Yes
899,15,Yes,No,No,Purchased the book,Yes,No
900,15,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
901,15,Yes,No,No,Got the book some other way,No,Yes
902,15,Yes,No,No,Got the book some other way,Yes,No
903,15,Yes,No,No,Purchased the book,No,Yes
904,15,Yes,No,No,Purchased the book,No,Yes
905,15,Yes,No,Yes,Purchased the book,No,No
906,15,Yes,No,No,Purchased the book,Yes,Yes
907,15,Yes,No,Yes,Purchased the book,No,No
908,15,No,Yes,Yes,Purchased the book,No,No
909,15,No,No,No,Got the book some other way,No,No
910,15,Yes,No,No,Purchased the book,Yes,No
911,15,Yes,No,No,Borrowed the book from a library,No,Yes
912,15,Yes,Yes,Yes,Purchased the book,No,No
913,15,Yes,Yes,Yes,Borrowed the book from a library,No,Yes
914,15,Yes,No,No,Got the book some other way,Yes,Yes
915,15,Yes,No,Yes,Purchased the book,No,Yes
916,15,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
917,15,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
918,15,No,No,Yes,Purchased the book,Yes,No
919,15,Yes,No,Yes,Purchased the book,Yes,Yes
920,15,Yes,Yes,Yes,Purchased the book,No,Yes
921,15,Yes,No,Yes,Purchased the book,Yes,No
922,15,Yes,No,Yes,Borrowed the book from a library,No,No
923,15,Yes,No,No,Purchased the book,Yes,No
924,15,Yes,No,No,Borrowed the book from a friend or family member,No,No
925,15,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
926,15,Yes,No,Yes,Purchased the book,Yes,Yes
927,15,Yes,No,No,Purchased the book,No,No
928,15,Yes,No,No,Borrowed the book from a friend or family member,No,No
929,15,Yes,Yes,Yes,Purchased the book,Yes,Yes
930,15,Yes,No,No,Borrowed the book from a library,No,No
931,15,Yes,No,No,Purchased the book,No,Yes
932,15,Yes,No,No,Borrowed the book from a library,No,Yes
933,15,Yes,No,No,Borrowed the book from a friend or family member,No,No
934,15,Yes,No,No,Borrowed the book from a library,Yes,Yes
935,15,Yes,No,No,Got the book some other way,No,Yes
936,14,Yes,No,No,Purchased the book,No,No
937,14,Yes,No,Yes,Borrowed the book from a library,Yes,No
938,14,Yes,No,No,Borrowed the book from a library,Yes,Yes
939,14,Yes,No,Yes,Purchased the book,Yes,No
940,14,Yes,No,No,Purchased the book,No,No
941,14,Yes,No,No,Got the book some other way,No,Yes
942,14,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
943,14,Yes,No,Yes,Purchased the book,Yes,Yes
944,14,Yes,No,No,Borrowed the book from a library,No,Yes
945,13,Yes,No,No,Purchased the book,No,Yes
