Serial Number,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
105,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
106,97,Yes,No,No,Purchased the book,Yes,Yes
107,97,Yes,No,No,Purchased the book,Yes,Yes
108,97,Yes,No,No,Purchased the book,No,No
109,97,Yes,No,No,Purchased the book,No,Yes
110,97,Yes,No,No,Purchased the book,No,Yes
111,97,Yes,No,Yes,Purchased the book,No,No
112,97,Yes,Yes,No,Purchased the book,No,No
113,97,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
114,97,Yes,No,Yes,Purchased the book,Yes,Yes
115,97,Yes,Yes,Yes,Got the book some other way,Yes,Yes
116,97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
117,97,Yes,No,Yes,Purchased the book,Yes,Yes
118,97,Yes,No,Yes,Purchased the book,No,No
119,97,Yes,No,No,Purchased the book,Yes,No
120,97,Yes,No,No,Got the book some other way,Yes,No
121,97,Yes,No,No,Borrowed the book from a friend or family member,No,No
122,97,Yes,No,No,Borrowed the book from a friend or family member,No,No
123,97,Yes,No,No,Purchased the book,Yes,Yes
124,97,Yes,No,No,Borrowed the book from a library,No,No
125,96,Yes,No,No,Purchased the book,Yes,Yes
126,96,Yes,No,No,Purchased the book,Yes,Yes
127,96,Yes,Yes,Yes,Purchased the book,Yes,Yes
128,96,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes
129,96,Yes,No,No,Borrowed the book from a library,No,Yes
130,96,Yes,No,No,Purchased the book,No,Yes
131,96,Yes,No,Yes,Purchased the book,No,No
132,96,Yes,Yes,Yes,Borrowed the book from a library,No,Yes
133,96,Yes,No,No,Purchased the book,No,Yes
134,96,Yes,Yes,No,Purchased the book,Yes,Yes
135,96,Yes,Yes,No,Purchased the book,No,Yes
136,96,Yes,Yes,Yes,Purchased the book,Yes,Yes
137,96,Yes,No,Yes,Purchased the book,Yes,Yes
138,96,Yes,No,Yes,Purchased the book,Yes,Yes
139,96,Yes,Yes,Yes,Purchased the book,No,Yes
140,90,Yes,No,No,Borrowed the book from a library,Yes,No
141,90,Yes,Yes,No,Borrowed the book from a library,Yes,No
142,84,Yes,No,No,Purchased the book,Yes,Yes
143,80,Yes,Yes,Yes,Purchased the book,Yes,Yes
144,80,Yes,Yes,No,Got the book some other way,No,Yes
145,80,Yes,No,No,Purchased the book,Yes,No
146,80,Yes,Yes,No,Purchased the book,No,Yes
147,80,Yes,No,No,Got the book some other way,Yes,No
148,80,Yes,No,Yes,Purchased the book,No,No
149,76,No,No,Yes,8,Yes,Yes
150,75,Yes,No,Yes,Purchased the book,Yes,No
151,75,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
152,75,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
153,75,Yes,No,No,Got the book some other way,Yes,No
154,75,Yes,No,No,Purchased the book,Yes,Yes
155,75,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
156,75,Yes,No,No,Borrowed the book from a library,Yes,No
157,75,Yes,No,No,Purchased the book,Yes,Yes
158,75,Yes,Yes,No,Purchased the book,Yes,Yes
159,75,Yes,No,No,Got the book some other way,Yes,No
160,75,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
161,75,Yes,No,Yes,Purchased the book,Yes,Yes
162,75,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
163,75,Yes,No,Yes,Borrowed the book from a friend or family member,No,No
164,70,Yes,No,No,Got the book some other way,No,Yes
165,70,Yes,Yes,No,Got the book some other way,Yes,No
166,70,Yes,No,No,Purchased the book,Yes,Yes
167,70,Yes,Yes,Yes,Borrowed the book from a library,Yes,No
168,70,Yes,Yes,Yes,Purchased the book,No,Yes
169,70,Yes,No,Yes,Got the book some other way,No,No
170,70,Yes,No,Yes,Purchased the book,No,Yes
171,70,Yes,No,No,Purchased the book,No,No
172,70,Yes,No,No,Borrowed the book from a friend or family member,No,No
173,70,Yes,No,No,Borrowed the book from a library,Yes,Yes
174,67,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
175,65,Yes,No,No,Purchased the book,No,Yes
176,65,No,No,Yes,Purchased the book,Yes,Yes
177,60,Yes,No,No,Purchased the book,Yes,Yes
178,60,Yes,No,Yes,Purchased the book,No,Yes
179,60,Yes,Yes,Yes,Got the book some other way,No,Yes
180,60,Yes,Yes,No,Purchased the book,Yes,Yes
181,60,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
182,60,Yes,No,No,Purchased the book,Yes,Don’t know
183,60,Yes,Yes,No,Purchased the book,Yes,Yes
184,60,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
185,60,Yes,No,Yes,Purchased the book,No,Yes
186,60,Yes,Yes,No,Purchased the book,Yes,No
187,60,Yes,Yes,Yes,Purchased the book,Yes,Yes
188,60,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
189,60,Yes,Yes,Yes,Purchased the book,Yes,Yes
190,60,Yes,No,Yes,Purchased the book,Yes,Yes
191,60,Yes,No,No,Borrowed the book from a library,Yes,Yes
192,60,Yes,No,No,Purchased the book,Yes,Yes
193,60,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
194,60,Yes,Yes,No,Purchased the book,Yes,Yes
195,60,Yes,No,Yes,Purchased the book,No,No
196,55,Yes,Yes,Yes,Purchased the book,Yes,Yes
197,55,Don’t know,No,No,Got the book some other way,Yes,No
198,55,Yes,No,Yes,Purchased the book,Yes,No
199,54,Yes,No,Yes,Borrowed the book from a library,No,No
200,52,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
201,52,Yes,No,Yes,Purchased the book,No,No
202,51,Yes,No,No,Got the book some other way,No,Yes
203,50,Yes,No,No,8,Yes,No
204,50,Yes,No,No,Purchased the book,Yes,No
205,50,Yes,No,No,Purchased the book,No,No
206,50,Yes,No,Yes,Purchased the book,Yes,Yes
207,50,Yes,No,No,Purchased the book,Yes,Yes
